No.,Result,Date,Time(start),Time(end),Rank,First_turn,First_card,Second_card,Third_card,Fourth_card,Fifth_card,Opp_decktype,N_of_Opp_handtrap,Name_of_Opp_handtrap,Property
1,Win,"March 02, 2022",,23:14:00,G4,1,セイファート,コラブサーペント,ヴァレット・トレーサー,龍の鏡,マスク・チェンジ・セカンド,閃刀姫 ,0,,
2,Win,"March 02, 2022",23:28:00,00:02:00,G4,2,原始生命体ニビル,暗黒竜コラプサーペント,カオス・テリトリー,星遺物の守護竜,サイフレームギア・ドライバー,閃刀姫 ,3,"増殖するG, 灰流うらら, 灰流うらら",
3,Lose,"March 02, 2022",00:03:00,00:08:00,G4,2,増殖するG,輝白竜ワイバースター,ハーピィの羽箒,ドラゴンズ・ミラー,クイック・リボルブ,トライブリゲート,0,,
4,Win,"March 03, 2022",11:00:00,11:15:00,G4,2,はるうらら,アブソルーター・ドラゴン,竜の渓谷,星遺物の守護竜,カオス・テリトリー,蟲惑魔,0,,
5,Lose,"March 03, 2022",11:15:00,11:25:00,G4,1,増殖するG,サンダーボルト,竜の渓谷,マスク・チェンジ・セカンド,墓穴の指名者,ヌメロン,1,増殖するG,
6,Lose,"March 03, 2022",11:25:00,11:30:00,G4,1,クイック・リボルブ,ハーピィの羽箒,混沌領域,龍の鏡,墓穴の指名者,ムーンナイト　　　　　　　　　　　　　　　　　　　,0,,
7,Lose,"March 05, 2022",,,G4,1,増殖するG,輝白竜ワイバースター,暗黒竜コラプサーペント,クイック・リボルブ,星遺物の守護竜,トライブリゲート,1,灰流うらら,
8,Win,"March 05, 2022",,,G4,2,増殖するG,マグナヴァレット・ドラゴン,サイフレームギア・ドライバー,龍の鏡,増殖するG,シンクロン,1,増殖するG,
9,Win,"March 05, 2022",02:02:00,02:22:00,G4,2,増殖するG,はるうらら,ヴァレット・トレーサー,ヴァレット・リチャージャー,ハーピィの羽根帚,オルフェゴール,0,,
10,Win,"March 05, 2022",02:22:00,,G4,1,ヴァレット・トレーサー,輝白竜ワイバースター,アブソルーター・ドラゴン,クイック・リボルブ,星遺物の守護竜,フォトン・ギャラクシー,0,,
11,Win,"March 05, 2022",02:30:00,,G4,2,サイフレームギア・ガンマ,ヴァレット・トレーサー,ノクトビジョン・ドラゴン,混源龍レヴィオニア,混沌領域,ミュートリアル,1,増殖するG,
12,Lose,"March 05, 2022",02:43:00,03:00:00,G4,1,ヴァレット・シンクロン,輝白竜ワイバースター,マスク・チェンジ・セカンド,クイック・リボルブ,王宮の勅命,ドライトロン,1,増殖するG,
13,Win,"March 05, 2022",15:47:00,16:06:00,G4,2,増殖するG,輝白竜ワイバースター,混沌領域,ブレイクスルースキル,はるうらら,エルドリッチ,0,,
14,Lose,"March 05, 2022",16:07:00,16:15:00,G4,1,混沌領域,はるうらら,メタルヴァレット・ドラゴン,暗黒竜コラプサーペント,クイック・リボルブ,,0,,
15,Win,"March 05, 2022",,17:52:00,G4,1,ヴァレット・トレーサー,混源龍レヴィオニア,龍の鏡,クイック・リボルブ,クイック・リボルブ,ドレミ,0,,
16,Lose,"March 06, 2022",,,G4,1,ヴァレット・トレーサー,アブソルーター・ドラゴン,,サイフレームギア・ガンマ,サイフレームギア・ドライバー,シンクロ・魔導,0,,
17,Win,"March 06, 2022",,02:01:00,G3,1,混沌領域,ヴァレット・シンクロン,増殖するG,アブソルーター・ドラゴン,龍の鏡,デュアル,0,,
18,Win,"March 06, 2022",,02:11:00,G3,2,輝白竜ワイバースター,メタルヴァレット・ドラゴン,アブソルーター・ドラゴン,クイック・リボルブ,星遺物の守護竜,LL,0,,
19,Win,"March 06, 2022",,02:29:00,G3,2,ヴァレット・シンクロン,マグナヴァレット・ドラゴン,メタルヴァレット・ドラゴン,龍の鏡,クイック・リボルブ,ブルーアイズ,0,,
20,Lose,"March 06, 2022",,02:37:00,G3,2,ヴァレット・トレーサー,ハーピィの羽箒,竜の渓谷,クイック・リボルブ,クイック・リボルブ,怪獣×除外系,1,ディメンションアトラクター,
21,Win,"March 09, 2022",,03:00:00,G2,2,PSYフレームギア・γ,墓穴の指名者,ブレイクスルー・スキル,サンダー・ボルト,ヴァレット・シンクロン,転生炎獣,0,,
22,Win,"March 06, 2022",,03:08:00,G2,1,増殖するG,PSYフレーム・ドライバー,増殖するG,暗黒竜 コラプサーペント,クイック・リボルブ,ブルーアイズ,0,,
23,Win,"March 13, 2022",,19:38:00,G2,1,竜の渓谷,ヴァレット・トレーサー,ヴァレット・リチャージャー,ノクトビジョン・ドラゴン,混源龍レヴィオニア,デストーイ,0,,
24,Win,,,20:24:00,G2,2,増殖するG,灰流うらら,輝光竜セイファート,ハーピィの羽根帚,混沌領域,ドレミコード,0,,
25,Lose,,,13:19:00,G2,2,マグナヴァレット・ドラゴン,メタルヴァレット・ドラゴン,原始生命態ニビル,龍の鏡,混沌領域,シンクロ　竜星,0,,
26,Win,,,13:40:00,G2,1,PSYフレームギア・γ,ノクトビジョン・ドラゴン,ハーピィの羽根帚,星遺物の守護竜,ブレイクスルー・スキル,インフェルニティ,0,,
27,Win,"March 21, 2022",02:38:00,02:49:00,G2,1,増殖するG,アブソルーター・ドラゴン,竜の渓谷,ハーピィの羽根帚,増殖するG,ブルーアイズ,0,,
28,Win,"March 21, 2022",02:50:00,01:01:00,G1,2,混沌領域,増殖するG,ノクトビジョン・ドラゴン,アブソルーター・ドラゴン,メタルヴァレット・ドラゴン,エルドリッチ,0,,先行制圧のあと、サレンダー
29,Win,"March 21, 2022",13:36:00,02:00:00,G3,2,PSYフレームギア・γ,PSYフレーム・ドライバー,クイック・リボルブ,星遺物の守護竜,混沌領域,ブルーアイズ,0,,Psyフレームで初動を無効にしたらサレンダー
30,Win,"March 08, 2022",13:45:00,02:00:00,G2,2,リボルブート・セクター,輝光竜セイファート,王宮の勅命,ヴァレット・リチャージャー,ヴァレット・トレーサー,絵札の三銃士,0,,
31,Win,"March 09, 2022",02:20:00,02:44:00,G2,1,リボルブート・セクター,ヴァレット・トレーサー,混沌領域,王宮の勅命,メタルヴァレット・ドラゴン,ギャラクシー,0,,
32,Win,"March 09, 2022",02:43:00,01:07:00,G2,1,クイック・リボルブ,メタルヴァレット・ドラゴン,灰流うらら,ヴァレット・トレーサー,ヴァレット・トレーサー,罠バーン,0,,
33,Win,"March 09, 2022",01:09:00,,G2,2,灰流うらら,輝白竜 ワイバースター,PSYフレーム・ドライバー,リボルブート・セクター,墓穴の指名者,ブラック・マジシャン,0,,
34,Lose,"March 09, 2022",12:03:00,12:15:00,,2,増殖するG,ヴァレット・トレーサー,アブソルーター・ドラゴン,龍の鏡,墓穴の指名者,幻影　彼岸,1,増殖するG,
35,Lose,"March 09, 2022",12:14:00,12:30:00,G2,1,竜の渓谷,ヴァレット・シンクロン,暗黒竜 コラプサーペント,ハーピィの羽根帚,混源龍レヴィオニア,プランキッズ,1,増殖するG,
36,Win,"March 09, 2022",12:29:00,12:38:00,G2,1,クイック・リボルブ,ヴァレット・トレーサー,墓穴の指名者,墓穴の指名者,マスク・チェンジ・セカンド,エルドリッチ,0,,
37,Win,"March 10, 2022",07:03:00,07:14:00,G3,1,輝白竜 ワイバースター,竜の渓谷,サンダーボルト,混源龍レヴィオニア,灰流うらら,魔導,0,,
38,Win,"March 10, 2022",19:15:00,19:38:00,G3,2,原始生命態ニビル,輝白竜 ワイバースター,ブレイクスルー・スキル,星遺物の守護竜,ノクトビジョン・ドラゴン,デュアル,0,,
39,Win,"March 10, 2022",19:40:00,19:45:00,G3,2,増殖するG,PSYフレームギア・γ,ヴァレット・トレーサー,ヴァレット・リチャージャー,星遺物の守護竜,魔法　ペンデュラム,0,,
40,Win,"March 10, 2022",20:17:00,20:23:00,G2,2,マスク・チェンジ・セカンド,墓穴の指名者,星遺物の守護竜,輝白竜 ワイバースター,星遺物の守護竜,トゥーン,0,,
41,Lose,"March 10, 2022",20:26:00,02:00:00,G2,2,混沌領域,PSYフレームギア・γ,混沌領域,混沌領域,輝光竜セイファート,フォッシルダイナ,0,,特殊召喚封じ。魔法罠破壊できず。
42,Lose,"March 12, 2022",01:39:00,02:00:00,G2,2,PSYフレームギア・γ,輝白竜 ワイバースター,ハーピィの羽根帚,マグナヴァレット・ドラゴン,墓穴の指名者,エルドリッチ,0,,プレミをした。
43,Win,"March 12, 2022",02:30:00,02:42:00,G2,2,サンダーボルト,灰流うらら,竜の渓谷,龍の鏡,ヴァレット・トレーサー,ドラゴンメイド,2,"増殖するG, 灰流うらら",
44,Win,"March 12, 2022",02:45:00,02:51:00,G2,1,ハーピィの羽根帚,マグナヴァレット・ドラゴン,王宮の勅命,マスク・チェンジ・セカンド,ヴァレット・トレーサー,蠱惑魔,0,,ヴァレルロード＋ダークロウ盤面出た瞬間サレンダー
