No.,Rank,Result,Datetime(start),Datetime(end),Sum_turn,First_turn,First_card,Second_card,Third_card,Fourth_card,Fifth_card,Opp_decktype,Opp_handtrap,Opp's handtrap,Property
21,G2,Win,"@March 9, 2022","@March 6, 2022 3:00 AM",,Turn2,PSYフレームギア・γ,墓穴の指名者,ブレイクスルー・スキル,サンダー・ボルト,ヴァレット・シンクロン,転生炎獣,,,
22,G2,Win,"@March 6, 2022","@March 6, 2022 3:08 AM",2,Turn1,増殖するG,PSYフレーム・ドライバー,増殖するG,暗黒竜 コラプサーペント,クイック・リボルブ,ブルーアイズ,0,,
30,G2,Win,"@March 8, 2022 11:45 PM","@March 8, 2022 12:00 AM",2,Turn2,リボルブート・セクター,輝光竜セイファート,王宮の勅命,ヴァレット・リチャージャー,ヴァレット・トレーサー,絵札の三銃士,0,,
31,G2,Win,"@March 9, 2022 12:20 AM","@March 9, 2022 12:44 AM",3,Turn1,リボルブート・セクター,ヴァレット・トレーサー,混沌領域,王宮の勅命,メタルヴァレット・ドラゴン,ギャラクシー,0,,
32,G2,Win,"@March 9, 2022 12:43 AM","@March 9, 2022 1:07 AM",7,Turn1,クイック・リボルブ,メタルヴァレット・ドラゴン,灰流うらら,ヴァレット・トレーサー,ヴァレット・トレーサー,罠バーン,0,,
33,G2,Win,"@March 9, 2022 1:09 AM",,,Turn2,灰流うらら,輝白竜 ワイバースター,PSYフレーム・ドライバー,リボルブート・セクター,墓穴の指名者,ブラック・マジシャン,0,,
34,,Lose,"@March 9, 2022 10:03 PM","@March 9, 2022 10:15 PM",3,Turn2,増殖するG,ヴァレット・トレーサー,アブソルーター・ドラゴン,龍の鏡,墓穴の指名者,幻影　彼岸,1,増殖するG,
35,G2,Lose,"@March 9, 2022 10:14 PM","@March 9, 2022 10:30 PM",4,Turn1,竜の渓谷,ヴァレット・シンクロン,暗黒竜 コラプサーペント,ハーピィの羽根帚,混源龍レヴィオニア,プランキッズ,1,増殖するG,
36,G2,Win,"@March 9, 2022 10:29 PM","@March 9, 2022 10:38 PM",2,Turn1,クイック・リボルブ,ヴァレット・トレーサー,墓穴の指名者,墓穴の指名者,マスク・チェンジ・セカンド,エルドリッチ,0,,
37,G3,Win,"@March 10, 2022 7:03 AM","@March 10, 2022 7:14 AM",2,Turn1,輝白竜 ワイバースター,竜の渓谷,サンダーボルト,混源龍レヴィオニア,灰流うらら,魔導,0,,
